"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Diospyros blancoi","Present",1,"<1cm","211","Plot No. 017","Philippines","CI Philippines","Restoration","Restoration","1x1",120,368,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Pouteria villamilii","Present",1,"<1cm","211","Plot No. 017","Philippines","CI Philippines","Restoration","Restoration","1x1",121,368,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Koordersiodendron pinnatum","Present",1,"<1cm","211","Plot No. 018","Philippines","CI Philippines","Restoration","Restoration","1x1",122,369,"main","Nested_1x1","Permanent","0","0","Trees planted were planted with a 3m by 2m spacing","Y0"
"Alangium javanicum","Present",1,"<1cm","211","Plot No. 018","Philippines","CI Philippines","Restoration","Restoration","1x1",123,369,"main","Nested_1x1","Permanent","0","0","Trees planted were planted with a 3m by 2m spacing","Y0"
"Dipterocarpus grandiflorus","planted",1,"<10cm planted","211","Plot No. 018","Philippines","CI Philippines","Restoration","Restoration","1x1",124,369,"main","Nested_1x1","Permanent","0","0","Trees planted were planted with a 3m by 2m spacing","Y0"
"Swietenia foxworthyi","Present",1,"<1cm","211","Plot No. 019","Philippines","CI Philippines","Restoration","Restoration","1x1",125,370,"main","Nested_1x1","Permanent","0","0","Trees planted with 3m by 2 2m spacing","Y0"
"Diospyros pyrrhocarpa","Present",1,"<1cm","211","Plot No. 020","Philippines","CI Philippines","Restoration","Restoration","1x1",126,371,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Intsia bijuga","planted",1,"<10cm planted","211","Plot No. 020","Philippines","CI Philippines","Restoration","Restoration","1x1",127,371,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Pouteria villamilii","Present",1,"<1cm","211","Plot No. 020","Philippines","CI Philippines","Restoration","Restoration","1x1",128,371,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Syzygium costulatum","Present",1,"<1cm","211","Plot No. 020","Philippines","CI Philippines","Restoration","Restoration","1x1",129,371,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Swietenia foxworthyi","Present",1,"<1cm","211","Plot No. 021","Philippines","CI Philippines","Restoration","Restoration","1x1",130,372,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Dipterocarpus grandiflorus","Present",1,"<1cm","211","Plot No. 021","Philippines","CI Philippines","Restoration","Restoration","1x1",131,372,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Terminalia calamansanai","Present",1,"<1cm","211","Plot No. 022","Philippines","CI Philippines","Restoration","Restoration","1x1",132,373,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Diospyros pyrrhocarpa","Present",1,"<1cm","211","Plot No. 022","Philippines","CI Philippines","Restoration","Restoration","1x1",133,373,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Semecarpus cuneiformis Blanco","Present",1,"<1cm","211","Plot No. 022","Philippines","CI Philippines","Restoration","Restoration","1x1",134,373,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Eugenia rhombea","Present",1,"<1cm","211","Plot No. 022","Philippines","CI Philippines","Restoration","Restoration","1x1",135,373,"main","Nested_1x1","Permanent","0","0","Trees planted with a 3m by 2m spacing","Y0"
"Vernonia glutinosa","Present",3,"<1cm","1794","S0051CP01","Madagascar","CI Madagascar","Restoration","Control","1x1",136,374,"main","Nested_1x1",NA,"0","2",NA,"Y0"
"Intsia","planted",1,"<10cm planted","1758","S0015MP01","Madagascar","CI Madagascar","Restoration","Restoration","1x1",137,420,"main","Nested_1x1","Permanent","0","2","2mm","Y0"
"Hintsia bijuga","planted",1,"<10cm planted","1758","S0015MP01","Madagascar","CI Madagascar","Restoration","Restoration","1x1",138,741,"main","Nested_1x1","Permanent","0","2","2 m","Y0"
"Ocotea sp","Present",NA,"<1cm","1744","S0001MP1","Madagascar","Amadese","Restoration","Restoration","1x1",139,742,"main","Nested_1x1","Permanent","2","2","1.5m*1.5m","Y0"
"''Intsia bijuga''","planted",1,"<10cm planted","1758","S0015MP13","Madagascar","Amadese","Restoration","Restoration","1x1",140,744,"main","Nested_1x1","Permanent","2","2","Les arbres ont été plantés avec un espacement de 2m20 x 2m20
Denivelation abrupte","Y0"
"Harungana madagascariencis","planted",1,"<10cm planted","1851","S0108MP1","Madagascar","Taotsara","Restoration","Restoration","1x1",141,745,"main","Nested_1x1","Permanent","0","0","Les arbres ont été plantés avec un espacements de 2m fois 2 m","Y0"
"Trachylobium verracusum","planted",1,"<10cm planted","1851","S0108MP84","Madagascar","Taotsara","Restoration","Restoration","1x1",142,752,"main","Nested_1x1","Permanent","0","2","2m sur 2m","Y0"
