"Species","Tree_Type","size_class","Timeframe","Country","Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Size","tree_index","main_index","_30x30_Plot_TreeIDNumber","_30X30_Plot_TreeTrunk","_30x30_Plot_TreeDBH","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"Schefflera morototoni","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",46,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Pogonophora schomburgkiana","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",47,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Myrcia falla","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",48,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Pouteira venosa","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",49,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Byrsonima sericea","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",50,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",51,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Pterocarpus rhorii","Present",">10cm","Y0","Brazil","GANB","P2 - ENR - 180","P2 -  ENR - 180","Restoration","30x30",52,6,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"Sloanea obtusifolia","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",53,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",54,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",55,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Tapirira guianensis Aubl.","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",56,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Lecythis pisonis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",57,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Thyrsodium spruceanum","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",58,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",59,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Pouteria venosa","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",60,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Zanthoxylum nemorale","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",61,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Eschweilera mattos-silvae","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",62,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",63,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Xylopia frutescens","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",64,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Andira fraxinifolia","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",65,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Annona silvestris","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",66,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Margaritaria nobilis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",67,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Jacaranda semisserrata","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",68,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Casearia commersoniana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",69,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Moldenhawera blanchetiana","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",70,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Eschweilera ovata","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",71,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Melanoxylon brauna","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",72,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Inga affinis","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",73,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",74,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",75,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
"Syagrus botryophora","Present",">10cm","Y0","Brazil","GANB","P2 - RN - 180","P2  - RN - 180","Restoration","30x30",76,7,NA,NA,NA,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas"
