"","tree_data.Species","tree_data._index","tree_data._parent_index","tree_data._parent_table_name","tree_data.Data_type","tree_data.Number_of_trees","tree_data.Tree_type","tree_data.plot_type","tree_data._id","tree_data._parent_table","submitted_name","matched_name2","data_source_title","score","genus_name","family_data_out"
"401","Drypetes grandifolia",2,49,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",221732781,"main","Drypetes grandifolia","Drypetes grandifolia","Tropicos - Missouri Botanical Garden",0.988,"Drypetes","Putranjivaceae"
"402","Drypetes grandifolia",20,49,"main","group_ka7vj63",1,"Present","3x3m within 30x30m",NA,NA,"Drypetes grandifolia","Drypetes grandifolia","Tropicos - Missouri Botanical Garden",0.988,"Drypetes","Putranjivaceae"
"403","Drypetes grandifolia",24,57,"main","group_qr1fe53",1,"naturally_regenerating","1x1m",NA,NA,"Drypetes grandifolia","Drypetes grandifolia","Tropicos - Missouri Botanical Garden",0.988,"Drypetes","Putranjivaceae"
"404","Drypetes grandifolia",1,57,NA,"group_qr1fe53",1,"naturally_regenerating","1x1m",226154755,"main","Drypetes grandifolia","Drypetes grandifolia","Tropicos - Missouri Botanical Garden",0.988,"Drypetes","Putranjivaceae"
"405","Dysoxylum cumingianum",24,46,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Dysoxylum cumingianum","Dysoxylum cumingianum","Tropicos - Missouri Botanical Garden",0.988,"Dysoxylum","Meliaceae"
"406","Dysoxylum cumingianum",6,46,NA,"group_an2yk58",3,"Present","30x30m",221702505,"main","Dysoxylum cumingianum","Dysoxylum cumingianum","Tropicos - Missouri Botanical Garden",0.988,"Dysoxylum","Meliaceae"
"407","Enterolabium cyclocarpum",118,73,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Enterolabium cyclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"408","Enterolabium cyclocarpum",6,73,NA,"group_an2yk58",1,"Present","30x30m",229320308,"main","Enterolabium cyclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"409","Enterolobium ciclocarpum",175,83,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Enterolobium ciclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"410","Enterolobium ciclocarpum",194,88,"main","group_an2yk58",2,"Present","30x30m",NA,NA,"Enterolobium ciclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"411","Enterolobium ciclocarpum",6,83,NA,"group_an2yk58",2,"Present","30x30m",229325338,"main","Enterolobium ciclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"412","Enterolobium ciclocarpum",2,88,NA,"group_an2yk58",2,"Present","30x30m",229326523,"main","Enterolobium ciclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"413","Enterolobium cuclocarpum",95,69,"main","group_an2yk58",1,"Present","30x30m",NA,NA,"Enterolobium cuclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"414","Enterolobium cuclocarpum",1,69,NA,"group_an2yk58",1,"Present","30x30m",229302073,"main","Enterolobium cuclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.75,"Enterolobium","Fabaceae"
"415","Enterolobium cyclocarpum",141,75,"main","group_an2yk58",3,"Present","30x30m",NA,NA,"Enterolobium cyclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.988,"Enterolobium","Fabaceae"
"416","Enterolobium cyclocarpum",3,75,NA,"group_an2yk58",3,"Present","30x30m",229320694,"main","Enterolobium cyclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden",0.988,"Enterolobium","Fabaceae"
"417","Eriobptrya Japonica",1,66,NA,"group_ka7vj63",1,"Present","3x3m within 30x30m",228160743,"main","Eriobptrya japonica","Eriobotrya japonica","Tropicos - Missouri Botanical Garden",0.75,"Eriobotrya","Rosaceae"
