"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"98","Conostegia xalapensis","Conostegia xalapensis","Conostegia xalapensis","The International Plant Names Index","0.988","Conostegia","Melastomataceae"
"99","Conostegia xalapensis","Conostegia xalapensis","Conostegia xalapensis","The International Plant Names Index","0.988","Conostegia","Melastomataceae"
"100","Conostegia xalaprnsis","Conostegia xalapensis","Conostegia xalaprnsis","Tropicos - Missouri Botanical Garden","0.75","Conostegia","Melastomataceae"
"101","Crescentia alata","Crescentia alata","Crescentia alata","Tropicos - Missouri Botanical Garden","0.988","Crescentia","Bignoniaceae"
"102","Crescentia cujete","Crescentia cujete","Crescentia cujete","Tropicos - Missouri Botanical Garden","0.988","Crescentia","Bignoniaceae"
"103","D melonoxylon","Dalbergia melanoxylon",NA,NA,NA,"Dalbergia","Fabaceae"
"104","Diospyros blancoi","Diospyros blancoi","Diospyros blancoi","Tropicos - Missouri Botanical Garden","0.988","Diospyros","Ebenaceae"
"105","Diospyros pyrrhocarpa","Diospyros pyrrhocarpa","Diospyros pyrrhocarpa","Tropicos - Missouri Botanical Garden","0.988","Diospyros","Ebenaceae"
"106","Diphysa americana","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden","0.988","Diphysa","Fabaceae"
"107","Diphysa americana","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden","0.988","Diphysa","Fabaceae"
"108","Diphysa americana","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden","0.988","Diphysa","Fabaceae"
"109","Diphysa americana","Diphysa americana","Diphysa americana","Tropicos - Missouri Botanical Garden","0.988","Diphysa","Fabaceae"
"110","Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Dipterocarpus grandiflorus","Tropicos - Missouri Botanical Garden","0.988","Dipterocarpus","Dipterocarpaceae"
"111","Dracaena fragrans","Dracaena fragrans","Dracaena fragrans","The International Plant Names Index","0.988","Dracaena","Asparagaceae"
"112","Dysoxylum cumingianum","Dysoxylum cumingianum","Dysoxylum cumingianum","Tropicos - Missouri Botanical Garden","0.988","Dysoxylum","Meliaceae"
"113","Enterolabium cyclocarpum","Enterolobium cyclocarpum","Enterolabium cyclocarpum","Tropicos - Missouri Botanical Garden","0.75","Enterolobium","Fabaceae"
"114","Enterolabium cyclocarpum","Enterolobium cyclocarpum","Enterolabium cyclocarpum","Tropicos - Missouri Botanical Garden","0.75","Enterolobium","Fabaceae"
"115","Enterolabium cyclocarpum","Enterolobium cyclocarpum","Enterolabium cyclocarpum","Tropicos - Missouri Botanical Garden","0.75","Enterolobium","Fabaceae"
"116","Enterolabium cyclocarpum","Enterolobium cyclocarpum","Enterolabium cyclocarpum","Tropicos - Missouri Botanical Garden","0.75","Enterolobium","Fabaceae"
"117","Enterolobium ciclocarpum","Enterolobium cyclocarpum","Enterolobium ciclocarpum","Tropicos - Missouri Botanical Garden","0.75","Enterolobium","Fabaceae"
"118","Enterolobium cuclocarpum","Enterolobium cyclocarpum","Enterolobium cuclocarpum","Tropicos - Missouri Botanical Garden","0.75","Enterolobium","Fabaceae"
"119","Enterolobium cyclocarpum","Enterolobium cyclocarpum","Enterolobium cyclocarpum","Tropicos - Missouri Botanical Garden","0.988","Enterolobium","Fabaceae"
"120","Eriobptrya japonica","Eriobotrya japonica","Eriobptrya Japonica","Tropicos - Missouri Botanical Garden","0.75","Eriobotrya","Rosaceae"
"121","Eriobptrya Japonica","Eriobotrya japonica",NA,NA,NA,"Eriobotrya","Rosaceae"
"122","Eriobptrya Japonica","Eriobotrya japonica",NA,NA,NA,"Eriobotrya","Rosaceae"
"123","Eriobptrya Japonica","Eriobotrya japonica",NA,NA,NA,"Eriobotrya","Rosaceae"
"124","Eriobptrya Japonica","Eriobotrya japonica",NA,NA,NA,"Eriobotrya","Rosaceae"
"125","Erythrina coralloides","Erythrina coralloides","Erythrina coralloides","Tropicos - Missouri Botanical Garden","0.988","Erythrina","Fabaceae"
"126","Eucalyptus","Eucalyptus","Eucalyptus","The International Plant Names Index","0.75","Eucalyptus","Myrtaceae"
"127","Fedegoso","Senna macranthera",NA,NA,NA,"Senna","Fabaceae"
"128","Ficus nota","Ficus nota","Ficus nota","Tropicos - Missouri Botanical Garden","0.988","Ficus","Moraceae"
"129","Ficus petiolaris","Ficus petiolaris","Ficus petiolaris","The International Plant Names Index","0.988","Ficus","Moraceae"
"130","Ficus septica","Ficus septica","Ficus septica","The International Plant Names Index","0.988","Ficus","Moraceae"
"131","Garcinia forbesii","Garcinia forbesii","Garcinia forbesii","Tropicos - Missouri Botanical Garden","0.988","Garcinia","Clusiaceae"
"132","Gliricidia sepium","Gliricidia sepium","Gliricidia sepium","Tropicos - Missouri Botanical Garden","0.988","Gliricidia","Fabaceae"
"133","Goniocheton arborescens","Goniocheton arborescens","Goniocheton arborescens","Tropicos - Missouri Botanical Garden","0.988","Goniocheton","Meliaceae"
"134","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma ulmifolia","The International Plant Names Index","0.988","Guazuma","Malvaceae"
"135","Heamatoxylum campechianum","Haematoxylum campechianum","Heamatoxylum campechianum","Tropicos - Missouri Botanical Garden","0.75","Haematoxylum","Fabaceae"
"136","Inga edulis","Inga edulis","Inga edulis","The International Plant Names Index","0.988","Inga","Fabaceae"
"137","Inga edulis","Inga edulis","Inga edulis","The International Plant Names Index","0.988","Inga","Fabaceae"
"138","Inga edulis","Inga edulis","Inga edulis","The International Plant Names Index","0.988","Inga","Fabaceae"
"139","Inga edulis","Inga edulis","Inga edulis","The International Plant Names Index","0.988","Inga","Fabaceae"
"140","Inga vera","Inga vera","Inga vera","The International Plant Names Index","0.988","Inga","Fabaceae"
"141","Inga vera","Inga vera","Inga vera","The International Plant Names Index","0.988","Inga","Fabaceae"
"142","Inga vera","Inga vera","Inga vera","The International Plant Names Index","0.988","Inga","Fabaceae"
"143","Inga vera","Inga vera","Inga vera","The International Plant Names Index","0.988","Inga","Fabaceae"
"144","Inga verá","Inga vera","Inga verá","The International Plant Names Index","0.988","Inga","Fabaceae"
"145","Inga verá","Inga vera","Inga verá","The International Plant Names Index","0.988","Inga","Fabaceae"
"146","Inga verá","Inga vera","Inga verá","The International Plant Names Index","0.988","Inga","Fabaceae"
"147","Inga verá","Inga vera","Inga verá","The International Plant Names Index","0.988","Inga","Fabaceae"
"148","Intsia bijuga","Intsia bijuga","Intsia bijuga","Tropicos - Missouri Botanical Garden","0.988","Intsia","Fabaceae"
"149","Ipê amarelo mirim","Tecoma stans",NA,NA,NA,"Tecoma","Bignoniaceae"
"150","Juglans  regia","Juglans regia","Juglans  regia","Tropicos - Missouri Botanical Garden","0.988","Juglans","Juglandaceae"
"151","Kokoona ochracea","Kokoona ochracea","Kokoona ochracea","Tropicos - Missouri Botanical Garden","0.988","Kokoona","Celastraceae"
"152","Larix decidua","Larix decidua","Larix decidua","The International Plant Names Index","0.988","Larix","Pinaceae"
"153","Lauris nobilis","Laurus nobilis","Lauris nobilis","Tropicos - Missouri Botanical Garden","0.75","Laurus","Lauraceae"
"154","Lauris nobilis","Laurus nobilis","Lauris nobilis","Tropicos - Missouri Botanical Garden","0.75","Laurus","Lauraceae"
"155","Lauris nobilis","Laurus nobilis","Lauris nobilis","Tropicos - Missouri Botanical Garden","0.75","Laurus","Lauraceae"
"156","Lauris nobilis","Laurus nobilis","Lauris nobilis","Tropicos - Missouri Botanical Garden","0.75","Laurus","Lauraceae"
"157","Leucaena esculenta","Leucaena esculenta","Leucaena esculenta","The International Plant Names Index","0.988","Leucaena","Fabaceae"
"158","Leucaena leucocephala","Leucaena leucocephala","Leucaena leucocephala","The International Plant Names Index","0.988","Leucaena","Fabaceae"
"159","Leucaena leucosephala","Leucaena leucocephala","Leucaena leucosephala","Tropicos - Missouri Botanical Garden","0.75","Leucaena","Fabaceae"
"160","Leucosyke capitellata","Leucosyke capitellata","Leucosyke capitellata","Tropicos - Missouri Botanical Garden","0.988","Leucosyke","Urticaceae"
"161","Litsea glutinosa","Litsea glutinosa","Litsea glutinosa","Tropicos - Missouri Botanical Garden","0.988","Litsea","Lauraceae"
"162","Lonchocarpus rugosus","Lonchocarpus rugosus","Lonchocarpus rugosus","The International Plant Names Index","0.988","Lonchocarpus","Fabaceae"
"163","Macaranga tanarius","Macaranga tanarius","Macaranga tanarius","The International Plant Names Index","0.988","Macaranga","Euphorbiaceae"
"164","Malpighia glabra","Malpighia glabra","Malpighia glabra","The International Plant Names Index","0.988","Malpighia","Malpighiaceae"
"165","Malpiguia glabra","Malpighia glabra","Malpiguia glabra","Tropicos - Missouri Botanical Garden","0.75","Malpighia","Malpighiaceae"
