OBJECTID *,Shape *,Site_ID,Country,Org_Name,Site_Name,MERGE_SRC,Site Area (ha),Shape_Length,Shape_Area
900,Polygon ZM,"2,197",Colombia,CI COLOMBIA,J03-1,MUSESI_TERRAMATCH_SEPT,0.3048,0.001943,0
901,Polygon ZM,"2,198",Colombia,CI COLOMBIA,J05-1,MUSESI_TERRAMATCH_SEPT,1.5359,0.004473,0.000001
902,Polygon ZM,"2,199",Cambodia,CI-Cambodia,Anlong Reang 3,CAMBODIA_MERGE_8_29_23,16.9074,0.025952,0.000014
903,Polygon ZM,"2,200",Cambodia,CI-Cambodia,Anlong Reang 4,CAMBODIA_MERGE_8_29_23,2.016,0.00506,0.000002
904,Polygon ZM,"2,201",Colombia,CI COLOMBIA,A08,MUSESI_TERRAMATCH_SEPT,0.4661,0.016968,0
905,Polygon ZM,"2,202",Colombia,CI COLOMBIA,A15,MUSESI_TERRAMATCH_SEPT,0.144,0.005304,0
906,Polygon ZM,"2,203",Colombia,CI COLOMBIA,B02,MUSESI_TERRAMATCH_SEPT,0.3002,0.010966,0
907,Polygon ZM,"2,204",Colombia,CI COLOMBIA,E21,MUSESI_TERRAMATCH_SEPT,0.3659,0.013345,0
908,Polygon ZM,"2,205",Colombia,CI COLOMBIA,F06,MUSESI_TERRAMATCH_SEPT,0.29,0.010602,0
909,Polygon ZM,"2,206",Colombia,CI COLOMBIA,F21,MUSESI_TERRAMATCH_SEPT,0.3152,0.011399,0
910,Polygon ZM,"2,207",Colombia,CI COLOMBIA,G23,MUSESI_TERRAMATCH_SEPT,0.3783,0.006987,0
911,Polygon ZM,"2,208",Colombia,CI COLOMBIA,G27,MUSESI_TERRAMATCH_SEPT,0.0749,0.002738,0
912,Polygon ZM,"2,209",Colombia,CI COLOMBIA,I01,MUSESI_TERRAMATCH_SEPT,2.4997,0.00776,0.000002
913,Polygon ZM,"2,210",Colombia,CI COLOMBIA,I11,MUSESI_TERRAMATCH_SEPT,2.0499,0.005527,0.000002
914,Polygon ZM,"2,211",Colombia,CI COLOMBIA,L05,MUSESI_TERRAMATCH_SEPT,4.5648,0.011785,0.000004
915,Polygon ZM,"2,212",Colombia,CI COLOMBIA,M36,MUSESI_TERRAMATCH_SEPT,0.382,0.013926,0
916,Polygon ZM,"2,213",Colombia,CI COLOMBIA,A15-1,MUSESI_TERRAMATCH_SEPT,0.4077,0.014848,0
917,Polygon ZM,"2,214",Colombia,CI COLOMBIA,A21-1,MUSESI_TERRAMATCH_SEPT,0.2419,0.008309,0
918,Polygon ZM,"2,215",Colombia,CI COLOMBIA,A21-3,MUSESI_TERRAMATCH_SEPT,0.0929,0.003444,0
919,Polygon ZM,"2,216",Colombia,CI COLOMBIA,A26-1,MUSESI_TERRAMATCH_SEPT,0.194,0.007045,0
920,Polygon ZM,"2,217",Colombia,CI COLOMBIA,A26-2,MUSESI_TERRAMATCH_SEPT,0.1695,0.006121,0
921,Polygon ZM,"2,218",Colombia,CI COLOMBIA,A26-3,MUSESI_TERRAMATCH_SEPT,0.2094,0.007722,0
922,Polygon ZM,"2,219",Colombia,CI COLOMBIA,B02-2,MUSESI_TERRAMATCH_SEPT,0.0661,0.002485,0
923,Polygon ZM,"2,220",Colombia,CI COLOMBIA,B02-4,MUSESI_TERRAMATCH_SEPT,0.12,0.004433,0
924,Polygon ZM,"2,221",Colombia,CI COLOMBIA,B02-5,MUSESI_TERRAMATCH_SEPT,0.0861,0.003189,0
925,Polygon ZM,"2,222",Colombia,CI COLOMBIA,B31-2,MUSESI_TERRAMATCH_SEPT,0.0871,0.003242,0
926,Polygon ZM,"2,223",Colombia,CI COLOMBIA,B31-3,MUSESI_TERRAMATCH_SEPT,0.2557,0.009416,0
927,Polygon ZM,"2,224",Colombia,CI COLOMBIA,F06-1,MUSESI_TERRAMATCH_SEPT,0.2954,0.010837,0
928,Polygon ZM,"2,225",Colombia,CI COLOMBIA,F39-1,MUSESI_TERRAMATCH_SEPT,0.2503,0.009162,0
929,Polygon ZM,"2,226",Colombia,CI COLOMBIA,F42-1,MUSESI_TERRAMATCH_SEPT,0.1219,0.004483,0
930,Polygon ZM,"2,227",Colombia,CI COLOMBIA,G27-1,MUSESI_TERRAMATCH_SEPT,0.1845,0.006741,0
931,Polygon ZM,"2,228",Colombia,CI COLOMBIA,I06-1,MUSESI_TERRAMATCH_SEPT,0.2098,0.007665,0
"*Key: Site_ID field ""no null"", needs verification to enusre it is the same as the SiteIds in IMP. ",,,,,,,,,
"*Key: Site_ID field ""null"", needs new IDs from the IMP. ",,,,,,,,,
,,,,,,,,,
,,,,,,,"11,400",,
