"Organization_Name","Site_ID","size_class","Species","Already Present","Planted","Unknown"
"Amadese","1761","<10cm planted","Spondias dulcis",NA,30.841935483871,NA
"Amadese","1761","<10cm planted","Trachylobium verrucosum",NA,9242.3,NA
"Amadese","1762","1 - 9.9cm","Eucalyptus robusta",1653.95614035088,NA,NA
"Amadese","1762","1 - 9.9cm","Psiadia altissima",22.0527485380117,NA,NA
"Amadese","1762","1 - 9.9cm","Thilachium angustifolium",33.0791228070175,NA,NA
"Amadese","1762","<1cm","Philippia madagascariensis",69466.1578947368,NA,NA
"Amadese","1762",">10cm","Eucalyptus robusta",446.568157894737,NA,260.957524366472
"Amadese","1762","<10cm planted","Caffea",NA,33.0791228070175,NA
"Amadese","1762","<10cm planted","Citrus sinensis",NA,66.1582456140351,NA
"Amadese","1762","<10cm planted","Coffea",NA,66.1582456140351,NA
"Amadese","1762","<10cm planted","Dracaena reflexa",NA,2491.96058479532,NA
"Amadese","1762","<10cm planted","Eugenia cloiselii",NA,11.0263742690058,NA
"Amadese","1762","<10cm planted","Harungana madagascariensis",NA,1488.56052631579,NA
"Amadese","1762","<10cm planted","Intsia",NA,540.292339181286,NA
"Amadese","1762","<10cm planted","Intsia bijuga",NA,9306.25988304094,NA
"Amadese","1762","<10cm planted","Litchi",NA,33.0791228070175,NA
"Amadese","1762","<10cm planted","Mangifera",NA,44.1054970760234,NA
"Amadese","1762","<10cm planted","Syzygium aromaticum",NA,121.290116959064,NA
"Amadese","1762","<10cm planted","Trachylobium verrucosum",NA,20023.8956725146,NA
"Amadese","1762","1 - 9.9cm","Brachylaena perrieri",NA,NA,735.091617933723
"Amadese","1763","1 - 9.9cm","Albizia gummifera",2805.46264173295,NA,NA
"Amadese","1763","1 - 9.9cm","Baudouinia fluggeiformis",5072.64139448299,NA,2737.0367236419
"Amadese","1763","1 - 9.9cm","Brachylaena perrieri",2052.77754273143,NA,NA
"Amadese","1763","1 - 9.9cm","Entada louvelii",260.018488745981,NA,NA
"Amadese","1763","1 - 9.9cm","Eucalyptus robusta",41.0555508546285,NA,456.17278727365
"Amadese","1763","1 - 9.9cm","Thilachium angustifolium",939.71594178372,NA,NA
"Amadese","1763","1 - 9.9cm","Trema orientalis",1382.20354543916,NA,NA
"Amadese","1763","<1cm","Albizia gummifera",147799.983076663,NA,NA
"Amadese","1763","<1cm","Psidium guajava",61583.3262819428,NA,NA
"Amadese","1763","<1cm","Thilachium angustifolium",49266.6610255542,NA,NA
"Amadese","1763",">10cm","Brachylaena perrieri",54.740734472838,NA,NA
"Amadese","1763",">10cm","Eucalyptus robusta",34.2129590455238,NA,NA
"Amadese","1763",">10cm","Psiadia altissima",6.84259180910476,NA,NA
"Amadese","1763",">10cm","Trema orientalis",109.481468945676,NA,NA
"Amadese","1763","<10cm planted","Caffea",NA,27.370367236419,NA
"Amadese","1763","<10cm planted","Citrus sinensis",NA,273.70367236419,NA
"Amadese","1763","<10cm planted","Coffea",NA,260.018488745981,NA
