"Organization_Name","Site_ID","size_class","Already Present","Planted","Unknown"
"FONCET","296",">10cm",1549.33362962963,NA,NA
"Faja Lobi","95",">10cm",8161.66245874587,NA,NA
"Faja Lobi","95","<10cm planted",NA,902.992442244224,NA
"Faja Lobi","96",">10cm",4092.60782894737,NA,NA
"GANB","40",">10cm",4500.46666666667,NA,NA
"GANB","40","<10cm planted",NA,0,NA
"Green Forests Work","2007","1 - 9.9cm",117467.016393443,NA,NA
"Green Forests Work","2007",">10cm",660.751967213115,NA,NA
"Green Forests Work","2007","<10cm planted",NA,1027.83639344262,NA
"Reforest Action","279","1 - 9.9cm",49882,NA,NA
"Reforest Action","279",">10cm",498.82,NA,NA
"Reforest Action","329","1 - 9.9cm",31901.1780821918,NA,NA
"Reforest Action","329",">10cm",549.409178082192,NA,NA
"Reforest Action","329","<10cm planted",NA,35.4457534246575,NA
"Reforest Action","333","1 - 9.9cm",44861.4545454545,NA,NA
"Reforest Action","333",">10cm",785.075454545454,NA,NA
"Reforest Action","334","1 - 9.9cm",63996.6263736264,NA,NA
"Reforest Action","334",">10cm",990.136483516484,NA,NA
"Reforest Action2","274","<10cm planted",NA,7682.57522123894,NA
"Reforest Action2","275",">10cm",92.0559722222222,NA,NA
"Reforest Action2","275","<10cm planted",NA,81469.5354166667,NA
"Reforest Action2","302","1 - 9.9cm",1309.57407407407,NA,NA
"Reforest Action2","302","<10cm planted",NA,6560.96611111111,NA
"Reforest Action2","306","1 - 9.9cm",19500.3333333333,NA,NA
"Reforest Action2","306",">10cm",65.0011111111111,NA,NA
"Reforest Action2","306","<10cm planted",NA,5113.42074074074,NA
"Reforest Action2","307","1 - 9.9cm",17853.8888888889,NA,NA
"Reforest Action2","307","<10cm planted",NA,2570.96,NA
"Taotsara","1821","1 - 9.9cm",69957.7263779528,NA,NA
"Taotsara","1821","<1cm",109897.228346457,NA,NA
"Taotsara","1821",">10cm",188.249881889764,NA,NA
"Taotsara","1821","<10cm planted",NA,26512.7063385827,NA
"Taotsara","1822","<1cm",149136,NA,NA
"Taotsara","1822","<10cm planted",NA,497.12,NA
"Taotsara","1823","1 - 9.9cm",2195.62962962963,NA,NA
"Taotsara","1823","<1cm",177846,NA,NA
"Taotsara","1823","<10cm planted",NA,296.41,NA
"Taotsara","1824","<10cm planted",NA,1713.33,NA
"Taotsara","1825","1 - 9.9cm",1360,NA,NA
"Taotsara","1825","<10cm planted",NA,253.866666666667,NA
"Taotsara","1826","<10cm planted",NA,2427.33333333333,NA
"Taotsara","1827","<10cm planted",NA,24602.1111111111,NA
"Taotsara","1828","1 - 9.9cm",13998.4,NA,NA
"Taotsara","1828","<1cm",38764.8,NA,NA
