"Tree_type","Species","size_class","Tree_per_sq_30m","main_data.Enter_a_date","main_data.Country","main_data.Site_ID","main_data.Timeframe","main_data.Plot_ID","main_data.Plot_Type","main_data.Plot_Permanence","main_data.Resampling1","main_data.PlantingPattern","main_data.Resampling2","main_data.X_id"
"Present","Artocarpus blancoi  (Elmer) Merr.",">10cm",2,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Bauhinia variegata L.",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Buchanania arborescens (Blume)",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Buchanania nitida",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Litsea glutinosa",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Sandoricum vidalii Merr.",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Tristaniopsis decorticata (Merr.)",">10cm",1,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Buchanania arborescens (Blume)","1-9.9cm",100,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Garcinia forbesii","1-9.9cm",100,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Guioa pleuropteris","1-9.9cm",100,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Litsea glutinosa","1-9.9cm",100,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Syzygium costulatum","1-9.9cm",100,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
"Present","Terminalia calamansanai","1-9.9cm",200,"2022-10-19","Philippines","211","Y0","Plot No. 002","Restoration","Permanent",0,"Trees were planted with 2m by 3m spacing",0,226156574
