"Site_ID","Plot_ID","Species","Tree_Count","Tree_Type","size_class","Timeframe","Country","Organization_Name","SiteType","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","Restoration_Technique"
"P3 - RN - 180","P3 - RN - 180","Pera heteranthera",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",95,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Tapira guianensis Aubl.",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",86,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Tapirira guianensis",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",103,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Tapirira guianensis Aubl.",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",89,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Thyrsodium spruceanum",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",88,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Xylopia frutescens Aubl",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",91,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P3 - RN - 180","P3 - RN - 180","Xylopia frutescens Aubl.",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",90,8,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio de mudas nativas"
"P4 - ENR - 180","P4 - ENR - 180","Albizia polycephalum",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",115,10,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P4 - ENR - 180","P4 - ENR - 180","Byrsonima sericea",4,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",117,10,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P4 - ENR - 180","P4 - ENR - 180","Cuspia sp.",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",121,10,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P4 - ENR - 180","P4 - ENR - 180","Eschweilera ovata",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",116,10,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P4 - ENR - 180","P4 - ENR - 180","Syagrus botryophora",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",123,10,"main","_30x30_Plot_Repeat","Permanent","0","0","4x3"
"P4 - RN - 180","P4 - RN - 180","Andira fraxinifolia",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",110,9,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"P4 - RN - 180","P4 - RN - 180","Balizia pedicellare",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",105,9,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"P4 - RN - 180","P4 - RN - 180","Byrsonima sericea",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",113,9,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"P4 - RN - 180","P4 - RN - 180","Schefflera morototoni",1,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",108,9,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
"P4 - RN - 180","P4 - RN - 180","Tapirira guianensis",2,"Present",">10cm","Y0","Brazil","GANB","Restoration","30x30",107,9,"main","_30x30_Plot_Repeat","Permanent","0","0","Não haverá plantio"
