"","submitted_name","matched_name2","user_supplied_name","data_source_title","score","genus_name","family_data_out"
"84","Parkia timoriana","Parkia timoriana","Parkia timoriana","Tropicos - Missouri Botanical Garden","0.988","Parkia","Fabaceae"
"85","Percea americana","Persea americana","Percea americana","Tropicos - Missouri Botanical Garden","0.75","Persea","Lauraceae"
"86","Persea  caerulea","Persea caerulea","Persea  caerulea","Tropicos - Missouri Botanical Garden","0.988","Persea","Lauraceae"
"87","Persea cacrulea","Persea caerulea","Persea cacrulea","Tropicos - Missouri Botanical Garden","0.75","Persea","Lauraceae"
"88","Pinus ocarpa","Pinus oocarpa","Pinus ocarpa","Tropicos - Missouri Botanical Garden","0.75","Pinus","Pinaceae"
"89","Platanus mexicana moric","Platanus mexicana","Platanus Mexicana Moric","Tropicos - Missouri Botanical Garden","0.988","Platanus","Platanaceae"
"90","Platanus Mexicana Moric","Platanus mexicana",NA,NA,NA,"Platanus","Platanaceae"
"91","Platus mexicana moric","Platanus mexicana",NA,NA,NA,"Platanus","Platanaceae"
"92","Platymiscium dimorphandrum","Platymiscium dimorphandrum","Platymiscium dimorphandrum","Tropicos - Missouri Botanical Garden","0.988","Platymiscium","Fabaceae"
"93","Platymisciun dimorphandrum","Platymiscium dimorphandrum","Platymisciun dimorphandrum","Tropicos - Missouri Botanical Garden","0.75","Platymiscium","Fabaceae"
"94","Platymissium  dimorphandrum","Platymiscium dimorphandrum","Platymissium  dimorphandrum","Tropicos - Missouri Botanical Garden","0.75","Platymiscium","Fabaceae"
"95","Polyscias nodosa","Polyscias nodosa","Polyscias nodosa","Tropicos - Missouri Botanical Garden","0.988","Polyscias","Araliaceae"
"96","Pterocymbium tinctorium","Pterocymbium tinctorium","Pterocymbium tinctorium","Tropicos - Missouri Botanical Garden","0.988","Pterocymbium","Malvaceae"
"97","Quercus candicans","Quercus candicans","Quercus candicans","The International Plant Names Index","0.988","Quercus","Fagaceae"
"98","Quercus skinneri","Quercus skinneri","Quercus skinneri","Tropicos - Missouri Botanical Garden","0.988","Quercus","Fagaceae"
"99","Quercus skinneri benth","Quercus skinneri","Quercus skinneri benth","Tropicos - Missouri Botanical Garden","0.988","Quercus","Fagaceae"
"100","Quercus skinneri benth","Quercus skinneri","Quercus skinneri Benth","Tropicos - Missouri Botanical Garden","0.988","Quercus","Fagaceae"
"101","Quercus skinneri Benth","Quercus skinneri",NA,NA,NA,"Quercus","Fagaceae"
"102","Sideroxy capiri","Sideroxylon capiri",NA,NA,NA,"Sideroxylon","Sapotaceae"
"103","Strax argenteus","Styrax argenteus","Strax argenteus","Tropicos - Missouri Botanical Garden","0.75","Styrax","Styracaceae"
