"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Harungana madagascarensis","planted",131,"<10cm planted","1851","S0108MP32","Madagascar","Taotsara","Restoration","Restoration","30x30",718,952,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Albizia lebbeck","planted",44,"<10cm planted","1851","S0108MP32","Madagascar","Taotsara","Restoration","Restoration","30x30",719,952,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing.","Y0"
"Coffea arabica","planted",25,"<10cm planted","1851","S0108MP33","Madagascar","Taotsara","Restoration","Restoration","30x30",720,953,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing.","Y0"
"Citrus sinensis","planted",39,"<10cm planted","1851","S0108MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",721,954,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Coffea","planted",21,"<10cm planted","1851","S0108MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",722,954,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Manguifera indica","planted",7,"<10cm planted","1851","S0108MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",723,954,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Syzygium aromaticum","planted",3,"<10cm planted","1851","S0108MP13","Madagascar","Taotsara","Restoration","Restoration","30x30",724,954,"main","Planted_30x30","Permanent","0","2","5m*5m","Y0"
"Coffea","planted",32,"<10cm planted","1851","S0108 Mp61","Madagascar","Taotsara","Restoration","Restoration","30x30",725,955,"main","Planted_30x30","Permanent","0","0","6*3","Y0"
"Trachylobium verrucosum","planted",53,"<10cm planted","1840","S0097MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",726,956,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Intsia bijuga","planted",4,"<10cm planted","1840","S0097MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",727,956,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Harungana madagascarensis","planted",86,"<10cm planted","1840","S0097MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",728,956,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Albizia lebbeck","planted",29,"<10cm planted","1840","S0097MP01","Madagascar","Taotsara","Restoration","Restoration","30x30",729,956,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Coffea arabica","planted",22,"<10cm planted","1840","S0097MP02","Madagascar","Taotsara","Restoration","Restoration","30x30",730,957,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing.","Y0"
"Citrus sinensis","planted",4,"<10cm planted","1840","S0097MP02","Madagascar","Taotsara","Restoration","Restoration","30x30",731,957,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing.","Y0"
"Litchi chinensis","planted",1,"<10cm planted","1840","S0097MP02","Madagascar","Taotsara","Restoration","Restoration","30x30",732,957,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 6m by 3m spacing.","Y0"
"Harungana madagascariens","planted",86,"<10cm planted","1851","S0108 MP62","Madagascar","Taotsara","Restoration","Restoration","30x30",733,958,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Albizia lebbeck","planted",21,"<10cm planted","1851","S0108 MP62","Madagascar","Taotsara","Restoration","Restoration","30x30",734,958,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Intsia bujiga","planted",5,"<10cm planted","1851","S0108 MP62","Madagascar","Taotsara","Restoration","Restoration","30x30",735,958,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Trachylobium verrucosum","planted",9,"<10cm planted","1840","S0097MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",736,959,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Harungana madagascarensis","planted",12,"<10cm planted","1840","S0097MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",737,959,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Albizia lebbeck","planted",4,"<10cm planted","1840","S0097MP03","Madagascar","Taotsara","Restoration","Restoration","30x30",738,959,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 2m by 2m spacing","Y0"
"Harungana madagascariens","planted",112,"<10cm planted","1851","S0108Mp63","Madagascar","Taotsara","Restoration","Restoration","30x30",739,960,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Albizia lebbeck","planted",31,"<10cm planted","1851","S0108Mp63","Madagascar","Taotsara","Restoration","Restoration","30x30",740,960,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Trachylobium verrucosum","planted",24,"<10cm planted","1862","S0119MP","Madagascar","Taotsara","Restoration","Restoration","30x30",741,961,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Famohylambo","planted",1,"<10cm planted","1862","S0119MP","Madagascar","Taotsara","Restoration","Restoration","30x30",742,961,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Intsia bijuga","planted",11,"<10cm planted","1862","S0119MP","Madagascar","Taotsara","Restoration","Restoration","30x30",743,961,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Brachylaena perrieri","planted",3,"<10cm planted","1862","S0119MP","Madagascar","Taotsara","Restoration","Restoration","30x30",744,961,"main","Planted_30x30","Permanent","0","0","2*2","Y0"
"Intsia bijuga","planted",5,"<10cm planted","1840","S0097MP04","Madagascar","Taotsara","Restoration","Restoration","30x30",745,962,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing.","Y0"
"Trachylobium verrucosum","planted",14,"<10cm planted","1840","S0097MP04","Madagascar","Taotsara","Restoration","Restoration","30x30",746,962,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing.","Y0"
"Syzygium aromaticum","planted",2,"<10cm planted","1840","S0097MP04","Madagascar","Taotsara","Restoration","Restoration","30x30",747,962,"main","Planted_30x30","Permanent","2","2","Trees were planted with a 10m by 10m spacing.","Y0"
