"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Spidium guajava","naturally_regenerating",4,"1 - 9.9cm","1795","S0052MP126","Madagascar","FAFIALA","Restoration","Restoration","30x30",190,1368,"main","Census_30x30","Permanent","0","2","4 m sur 4m","Y0"
NA,"naturally_regenerating",NA,"1 - 9.9cm","1795","S0052MP126","Madagascar","FAFIALA","Restoration","Restoration","30x30",191,1368,"main","Census_30x30","Permanent","0","2","4 m sur 4m","Y0"
"Nuxia capitata","Present",5,"1 - 9.9cm","1805","S0062MP 09","Madagascar","FAFIALA","Restoration","Restoration","30x30",192,1369,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Thilachium angustifolium","naturally_regenerating",3,"1 - 9.9cm","1805","S0062MP 09","Madagascar","FAFIALA","Restoration","Restoration","30x30",193,1369,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Psidia altissima","naturally_regenerating",5,"1 - 9.9cm","1805","S0062 MP 13","Madagascar","FAFIALA","Restoration","Restoration","30x30",194,1370,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Weinmania rutenbergii","naturally_regenerating",3,"1 - 9.9cm","1805","S0062 MP 13","Madagascar","FAFIALA","Restoration","Restoration","30x30",195,1370,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Eucalyptus robista","Present",1,"1 - 9.9cm","1803","S0060 MP 05","Madagascar","FAFIALA","Restoration","Restoration","30x30",196,1382,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Thilachium angustifolium","naturally_regenerating",5,"1 - 9.9cm","1803","S0060 MP 05","Madagascar","FAFIALA","Restoration","Restoration","30x30",197,1382,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Nuxia capitata","naturally_regenerating",2,"1 - 9.9cm","1803","S0060 MP 05","Madagascar","FAFIALA","Restoration","Restoration","30x30",198,1382,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Weinmania rutenbergii","naturally_regenerating",1,"1 - 9.9cm","1803","S0060 MP 05","Madagascar","FAFIALA","Restoration","Restoration","30x30",199,1382,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Weinmannia madagascariensis","naturally_regenerating",2,"1 - 9.9cm","1796","S0053MP02","Madagascar","FAFIALA","Restoration","Restoration","30x30",200,1384,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Baudouinia fluggeiformis","naturally_regenerating",6,"1 - 9.9cm","1795","S0052MP100","Madagascar","FAFIALA","Restoration","Restoration","30x30",201,1385,"main","Census_30x30","Permanent","0","2","2m*2m","Y0"
"Harungana madagascarnesis","naturally_regenerating",10,"1 - 9.9cm","1795","S0052MP57","Madagascar","FAFIALA","Restoration","Restoration","30x30",202,1388,"main","Census_30x30","Permanent","2","2","2m*2m","Y0"
"Nuxa capitata","naturally_regenerating",24,"1 - 9.9cm","1796","S0053MP01","Madagascar","FAFIALA","Restoration","Restoration","30x30",203,1394,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Weinmannia madagascariensis","naturally_regenerating",19,"1 - 9.9cm","1796","S0053MP01","Madagascar","FAFIALA","Restoration","Restoration","30x30",204,1394,"main","Census_30x30","Permanent","2","2","2m sur 2m","Y0"
"Desmodium barbatum","naturally_regenerating",3,"1 - 9.9cm","1795","S0052MP117","Madagascar","FAFIALA","Restoration","Restoration","30x30",205,1397,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Nuxia capitata","naturally_regenerating",1,"1 - 9.9cm","1795","S0052MP117","Madagascar","FAFIALA","Restoration","Restoration","30x30",206,1397,"main","Census_30x30","Permanent","2","2","4m*4m","Y0"
"Spidium guajava","naturally_regenerating",32,"1 - 9.9cm","1796","S0053MP03","Madagascar","FAFIALA","Restoration","Restoration","30x30",207,1399,"main","Census_30x30","Permanent","0","2","7m sur 7m","Y0"
"Desmodium sp","naturally_regenerating",1,"1 - 9.9cm","1796","S0053MP03","Madagascar","FAFIALA","Restoration","Restoration","30x30",208,1399,"main","Census_30x30","Permanent","0","2","7m sur 7m","Y0"
