"Organization_Name","Site_ID","size_class.x","count_Y0","size_class.y","count_Y25","size_class","count_Y5","restored_Y25","restored_Y5"
"CUCOS","1464","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1464",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1465","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1465",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1466","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1466",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1467","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1467",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1468","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1468",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1469","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1469",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1470","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1470",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1471","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1471",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1472",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1473","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1473",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1476","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1476",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1477","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1477",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1478","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1478",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1479","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1479",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1480","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1480",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1481","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1481",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1482","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1482",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1483","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1483",">10cm",NA,NA,NA,NA,NA,NA,NA
"CUCOS","1484","1 - 9.9cm",NA,NA,NA,NA,NA,NA,NA
