"query","family","db"
"Ternstroemia luquillensis","Pentaphylacaceae","GBIF"
"Verbesina myriocephala","Asteraceae","GBIF"
"Platanus mexicana","Platanaceae","GBIF"
"Acacia collinsii","Fabaceae","GBIF"
"Vijao",NA,"GBIF"
"Manga",NA,"GBIF"
"Folha composta",NA,"GBIF"
"Annonaceae","Annonaceae","GBIF"
"Néant",NA,"GBIF"
"guachipilin",NA,"GBIF"
"Guayaba","Myrtaceae","GBIF"
"Chalun",NA,"GBIF"
"Quercus skinneri","Fagaceae","GBIF"
"Ochroma pyramidale","Malvaceae","GBIF"
"Platanos","Platanaceae","GBIF"
"Trompillo",NA,"GBIF"
"Nispero","Sapotaceae","GBIF"
"Astronium graveolens","Anacardiaceae","GBIF"
"Ulmus",NA,"GBIF"
"Chicharo",NA,"GBIF"
"Ficus aurea","Moraceae","GBIF"
"Inga jinicuil","Fabaceae","GBIF"
"Calycophyllum candidissimum","Rubiaceae","GBIF"
"Annona macroprophyllata","Annonaceae","GBIF"
"Sideroxylon capiri","Sapotaceae","GBIF"
"Quercus candicans","Asteraceae","GBIF"
"Platymiscium dimorphandrum","Fabaceae","GBIF"
"Pitio",NA,"GBIF"
"Andira inermis","Fabaceae","GBIF"
"Ternstroemia lineata","Pentaphylacaceae","GBIF"
"Diospyros digyna","Ebenaceae","GBIF"
"Styrax argenteus","Styracaceae","GBIF"
"Coccoloba acapulcensis","Polygonaceae","GBIF"
"Chiranthodendron pentadactylon","Malvaceae","GBIF"
"Tabebuia donnell-smithii","Bignoniaceae","GBIF"
"Muntingia calabura","Muntingiaceae","GBIF"
"Manilkara zapota","Sapotaceae","GBIF"
"Litsea glaucescens","Lauraceae","GBIF"
"Chiombo",NA,"GBIF"
"Uapaca kirkiana","Phyllanthaceae","GBIF"
"Chiwombo",NA,"GBIF"
"No",NA,"GBIF"
"Ficus",NA,"GBIF"
"Nkhadzi",NA,"GBIF"
"Semecarpus cuneiformis","Anacardiaceae","GBIF"
"Homalanthus populneus","Euphorbiaceae","GBIF"
"Carallia borneensis","Rhizophoraceae","GBIF"
"Pterospermum diversifolium","Malvaceae","GBIF"
"Garcinia forbesii","Clusiaceae","GBIF"
"Cratoxylum sumatranum","Hypericaceae","GBIF"
"Syzygium costulatum","Myrtaceae","GBIF"
"Canarium luzonicum","Burseraceae","GBIF"
"Barringtonia asiatica","Lecythidaceae","GBIF"
"Ficus nota","Moraceae","GBIF"
"Macaranga grandifolia","Euphorbiaceae","GBIF"
"Nephelium lappaceum","Sapindaceae","GBIF"
"Polyscias nodosa","Araliaceae","GBIF"
"Pterocymbium tinctorium","Malvaceae","GBIF"
"Parkia timoriana","Fabaceae","GBIF"
"Syzygium xanthophyllum","Myrtaceae","GBIF"
"Lagerstroemia speciosa","Lythraceae","GBIF"
"Vitex","Lamiaceae","GBIF"
"Koordersiodendron pinnatum","Anacardiaceae","GBIF"
"Diospyros pyrrhocarpa","Ebenaceae","GBIF"
"Artocarpus ovatus","Moraceae","GBIF"
"Omalanthus fastuosus","Euphorbiaceae","GBIF"
"Dysoxylum gaudichaudianum","Meliaceae","GBIF"
"Gomphandra luzoniensis","Stemonuraceae","GBIF"
"Azadirachta excelsa","Meliaceae","GBIF"
"Masuku",NA,"GBIF"
"O",NA,"GBIF"
"Brachystegia","Fabaceae","GBIF"
"Croton urucurana","Euphorbiaceae","GBIF"
"Saurauia serrata","Actinidiaceae","GBIF"
"Fouquieria splendens","Fouquieriaceae","GBIF"
"Schinopsis balansae","Anacardiaceae","GBIF"
"Persea schiedeana","Lauraceae","GBIF"
"Euphorbia macvaughii","Euphorbiaceae","GBIF"
"Callistemon citrinus","Myrtaceae","GBIF"
"Trophis racemosa","Moraceae","GBIF"
"Homalium trichostemon","Salicaceae","GBIF"
"Nectandra leucantha","Lauraceae","GBIF"
"Thouinidium decandrum","Sapindaceae","GBIF"
"Juniperus squamata","Cupressaceae","GBIF"
"Ficus benjamina","Moraceae","GBIF"
"Gynostemma pentaphyllum","Cucurbitaceae","GBIF"
"Syzygium jambos","Myrtaceae","GBIF"
"Dorstenia brasiliensis","Moraceae","GBIF"
"Brosimum","Moraceae","GBIF"
"Ficus insipida","Moraceae","GBIF"
"Rhodamnia rubescens","Myrtaceae","GBIF"
"Pseudobombax ellipticum","Malvaceae","GBIF"
"Haematoxylum brasiletto","Fabaceae","GBIF"
"Genipa americana","Rubiaceae","GBIF"
"Nectandra lineata","Lauraceae","GBIF"
"Theobroma bicolor","Malvaceae","GBIF"
"Amphipterygium adstringens","Anacardiaceae","GBIF"
"Citrus reticulata","Rutaceae","GBIF"
"Aquilaria sinensis","Thymelaeaceae","GBIF"
"Quercus subspathulata","Fagaceae","GBIF"
"Quercus devia","Fagaceae","GBIF"
"Sebastiania brasiliensis","Euphorbiaceae","GBIF"
"Hamelia patens","Rubiaceae","GBIF"
"Trema micrantha","Cannabaceae","GBIF"
"Nectandra","Lauraceae","GBIF"
"Fouquieria ochoterenae","Fouquieriaceae","GBIF"
"Hymenaea courbaril","Fabaceae","GBIF"
"Annona muricata","Annonaceae","GBIF"
"Ficus carica","Moraceae","GBIF"
"Cedrus",NA,"GBIF"
"Prunus domestica","Rosaceae","GBIF"
"Annona cherimola","Annonaceae","GBIF"
"Persea mutisii","Lauraceae","GBIF"
"Acacia cochliacantha","Fabaceae","GBIF"
"Acacia farnesiana","Fabaceae","GBIF"
"Pterocarpus","Fabaceae","GBIF"
"Heliocarpus donnellsmithii","Malvaceae","GBIF"
"Vachellia collinsii","Fabaceae","GBIF"
"Zanthoxylum riedelianum","Rutaceae","GBIF"
"Spondias purpurea","Anacardiaceae","GBIF"
"Sterculia comosa","Malvaceae","GBIF"
"Mangifera altissima","Anacardiaceae","GBIF"
"Barringtonia macrostachya","Lecythidaceae","GBIF"
"Aglaia rimosa","Meliaceae","GBIF"
"Mallotus philippensis","Euphorbiaceae","GBIF"
"Macaranga tanarius","Euphorbiaceae","GBIF"
"Ficus minahassae","Moraceae","GBIF"
"Myristica fatua","Myristicaceae","GBIF"
"Cinnamomum","Lauraceae","GBIF"
"Canthium dicoccum","Rubiaceae","GBIF"
"Canarium asperum","Burseraceae","GBIF"
"Ficus variegata",NA,"GBIF"
"Gnetum gnemon","Gnetaceae","GBIF"
"Alstonia macrophylla","Apocynaceae","GBIF"
"Syzygium curranii","Myrtaceae","GBIF"
"Eugenia rhombea","Myrtaceae","GBIF"
"Palaquium tenuipetiolatum","Sapotaceae","GBIF"
"Anacardium occidentale","Anacardiaceae","GBIF"
"Sandoricum koetjape","Meliaceae","GBIF"
"Melanolepis multiglandulosa","Euphorbiaceae","GBIF"
"Cryptocarya acuminata","Lauraceae","GBIF"
"Nauclea orientalis","Rubiaceae","GBIF"
"Eugenia jambolana","Myrtaceae","GBIF"
"Assang",NA,"GBIF"
"Millettia laurentii","Fabaceae","GBIF"
"Ontang",NA,"GBIF"
"Piptadeniastrum africanum","Fabaceae","GBIF"
"Maesopsis","Rhamnaceae","GBIF"
"Afromosia","Asilidae","GBIF"
"Maesopsis eminii","Rhamnaceae","GBIF"
"Nguba mindele",NA,"GBIF"
"Nguba",NA,"GBIF"
"Ricinodendron heudelotii","Euphorbiaceae","GBIF"
"Onkok",NA,"GBIF"
"Cassia",NA,"GBIF"
"Ngumba mindele",NA,"GBIF"
"Pericopsis elata","Fabaceae","GBIF"
"Canarium",NA,"GBIF"
"Safout foret",NA,"GBIF"
"Ricinodendron africanum","Euphorbiaceae","GBIF"
